LABEL,TEXT
1,you've got to  
1,"now, we have a "
1,we really do   
1,we can't let   
1,we cannot let  
1,you know in    
1,here we are in 
1,we're fighting 
1,we're fighting 
1,maybe you let  
1,but think of   
1,isis is        
1,there are so   
1,there are so   
1,but the one    
1,"nuclear today, "
1,you can take   
1,and we have to 
1,we've never    
1,we have a      
1,we're spending 
1,we're trying   
1,we have        
1,"you know,      "
1,the same thing 
1,and i never    
1,and we're      
1,they're taking 
1,trillion of    
1,so we're       
1,"it's really,   "
1,so we have to  
1,if we don't    
1,bridges are    
1,the reports on 
1,i go to saudi  
1,i am doing big 
1,i go to        
1,they are       
1,they have      
1,they're        
1,they are       
1,but they're    
1,and then i     
1,the place is   
1,you go into    
1,and they have  
1,so you have a  
1,this is        
1,and i just     
1,in fact my     
1,trump this is  
1,i said it's    
1,they're just   
1,but you look   
1,you look at    
1,and this isn't 
1,you know the   
1,the ones that  
1,did you ever   
1,now they've    
1,why doesn't    
1,because they   
1,they don't     
1,somebody made  
1,they don't     
1,so we have to  
1,we have to     
1,and we have a  
1,we are just in 
1,now we owe it  
1,we owe it to   
1,they're the    
1,and then we    
1,we have        
1,i just ordered 
1,it's south     
1,what are we    
1,why aren't     
1,why aren't     
1,what are we    
1,i order        
1,you know       
1,why aren't     
1,"now, we have a "
1,we have a      
1,and we have    
1,nobody like    
1,we have some   
1,it' can't be   
1,i mean i liked 
1,"look like him, "
1,the romneycare 
1,what do you    
1,it's not fair  
1,but more       
1,something      
1,he had that    
1,and let me     
1,"that election, "
1,i know many of 
1,they get it up 
1,or a golfer    
1,and there are  
1,most people    
1,i mean most    
1,you can't give 
1,i think        
1,so you can't   
1,you can't have 
1,the last thing 
1,now i made     
1,i'll be        
1,that's the bad 
1,i was the one  
1,the last thing 
1,"now, he's      "
1,that's a       
1,but he's       
1,"he's very,     "
1,don't forget   
1,you've got     
1,they're coming 
1,they're coming 
1,and when he    
1,i was never a  
1,'cause abraham 
1,and then he    
1,and jeb wanted 
1,and justice    
1,so you can't   
1,and he's going 
1,he's not going 
1,so mitt and    
1,so just in     
1,and i watch    
1,and people     
1,he is reading  
1,i mean give me 
1,everything is  
1,you don't      
1,and that's     
1,"but, so when i "
1,"no problems,   "
1,but we have to 
1,but in looking 
1,and you'll see 
1,an incredible  
1,a wonderful    
1,i employ       
1,and in a       
1,we have such   
1,so if i run    
1,defeating isis 
1,reducing the   
1,securing our   
1,stopping       
1,saving social  
1,repealing      
1,and believe me 
1,and everybody  
1,i'm not saying 
1,everybody can  
1,as bad as the  
1,fixing our     
1,"and that, i    "
1,i just got the 
1,"i'm building,  "
1,i'm building   
1,the  old post  
1,do you believe 
1,and everybody  
1,"so, i can't    "
1,but it's going 
1,and so many    
1,i know what    
1,we can make    
1,the potential  
1,and i am       
1,thank you all  
1,thank you very 
1,thank you for  
1,it truly is a  
1,i'd like to    
1,it's time to   
1,it's time to   
1,the direction  
1,my foreign     
1,it has to be   
1,that will be   
1,america first  
1,but to chart   
1,we have a lot  
1,in the 1940s   
1,the greatest   
1,then we saved  
1,"this time,     "
1,the cold war   
1,democrats and  
1,gorbachev to   
1,history will   
1,a very special 
1,"unfortunately, "
1,we failed to   
1,"in fact, as    "
1,logic was      
1,they just kept 
1,we went from   
1,each of these  
1,it all began   
1,we tore up     
1,"civil war,     "
1,horribly       
1,many trillions 
1,the vacuum was 
1,"iran, too,     "
1,they have      
1,our foreign    
1,today i want   
1,"first, our     "
1,president      
1,he's crippled  
1,our            
1,we're          
1,ending the     
1,i am the only  
1,i'm the only   
1,"secondly, our  "
1,our allies     
1,but many of    
1,they look at   
1,"in nato, for   "
1,we have spent  
1,the countries  
1,must be        
1,we have no     
1,the whole      
1,a trump        
1,"thirdly, our   "
1,we've had a    
1,he negotiated  
1,iran cannot be 
1,"remember that, "
1,and under a    
1,all of this    
1,in             
1,"the iran deal, "
1,when the other 
1,at the same    
1,you've made    
1,president      
1,he supported   
1,"israel, our    "
1,just a few     
1,president      
1,he has treated 
1,"iran has,      "
1,all of the     
1,we've picked   
1,"fourth, our    "
1,"in fact,       "
1,the truth is   
1,when president 
1,perhaps an     
1,then           
1,it's called no 
1,absolutely no  
1,do you         
1,the president  
1,he should have 
1,we were        
1,the list of    
1,president      
1,our president  
1,we have the    
1,we have the    
1,and with that  
1,he has even    
1,we've let our  
1,they do at     
1,it always      
1,if president   
1,"finally,       "
1,since the end  
1,"one day, we're "
1,"the next day,  "
1,"lives lost,    "
1,the world is a 
1,we're a        
1,we've made the 
1,we left        
1,we have done   
1,our actions in 
1,hillary        
1,after          
1,"then, instead  "
1,clinton blames 
1,our ambassador 
1,"and, by the    "
1,and now isis   
1,and you know   
1,we don't       
1,it's almost as 
1,this will all  
1,to our friends 
1,america is     
1,it's going to  
1,it's going to  
1,we're going to 
1,we're getting  
1,our moments of 
1,we need a new  
1,this is how we 
1,"first, we need "
1,containing the 
1,events may     
1,"in this, we're "
1,it is a        
1,we should work 
1,we should work 
1,but this has   
1,they must also 
1,they have to   
1,it's now       
1,"and remember,  "
1,we're going to 
1,the struggle   
1,there are      
1,for every case 
1,we must stop   
1,we have no     
1,there's no     
1,there's no     
1,there's        
1,we have to be  
1,we have to be  
1,a pause for    
1,all you have   
1,worse than     
1,and then       
1,i have a       
1,their days are 
1,i won't tell   
1,we must as a   
1,we are totally 
1,we tell        
1,we're sending  
1,we're sending  
1,we have a news 
1,we have to be  
1,and we have to 
1,but they're    
1,isis will be   
1,and they'll be 
1,they will be   
1,"secondly, we   "
1,the russians   
1,our nuclear    
1,and it has to  
1,our active     
1,3 million      
1,the navy has   
1,the air force  
1,pilots flying  
1,these planes   
1,and what are   
1,president      
1,our military   
1,we will spend  
1,it is the      
1,we will        
1,our military   
1,but we will    
1,in this time   
1,no one dollar  
1,not one single 
1,we're also     
1,and to put     
1,this will      
1,"so, so         "
1,we need to     
1,this includes  
1,a great        
1,our commitment 
1,a trump        
1,and the best   
1,our veterans   
1,these are our  
1,we must even   
1,"finally, we    "
1,businesses do  
1,look at what   
1,our embassies  
1,and 17 brave   
1,and what did   
1,it seemed we   
1,"frankly, we    "
1,we even had an 
1,and then we    
1,"again, the     "
1,our foreign    
1,and the        
1,in the middle  
1,we need to be  
1,and believe    
1,we have to be  
1,and we must    
1,we desire to   
1,we have        
1,we should seek 
1,"russia, for    "
1,i believe an   
1,common sense   
1,good for both  
1,some say the   
1,i intend to    
1,if we can't    
1,it's as simple 
1,we're going to 
1,fixing our     
1,china respects 
1,we have a      
1,a strong and   
1,look at what   
1,they're not    
1,no respect for 
1,we can both    
1,"if need be,    "
1,after i'm      
1,in these       
1,"for instance,  "
1,i will not     
1,but if america 
1,i will never   
1,our goal is    
1,the best way   
1,with president 
1,after losing   
1,i challenge    
1,it has been a  
1,i will also be 
1,financial      
1,our power will 
1,in other       
1,our friends    
1,"however,       "
1,you cannot     
1,a superpower   
1,although not   
1,"sadly, i was   "
1,"and now, to    "
1,my goal is to  
1,that's why i   
1,we have to     
1,we have to     
1,"finally, i     "
1,instead of     
1,these are my   
1,i will seek a  
1,the world must 
1,we want them   
1,we want the    
1,too much       
1,the power of   
1,to achieve     
1,"again, many    "
1,americans must 
1,"on trade, on   "
1,"the jobs,      "
1,no country has 
1,both our       
1,we will no     
1,the            
1,i am skeptical 
1,and under my   
1,"nafta, as an   "
1,and i've just  
1,i've toured    
1,i've toured    
1,i've toured so 
1,they have been 
1,their          
1,"never again,   "
1,only the       
1,we will keep   
1,there will be  
1,they fire the  
1,they take      
1,there will be  
1,under a trump  
1,i will view as 
1,i will be      
1,we will not    
1,the world is   
1,america will   
1,we will always 
1,and always     
1,we must make   
1,and we must    
1,and if we do   
1,thank you very 
1,i appreciate   
1,a hand with    
1,look at my     
1,nobody other   
1,my hands are   
1,during a       
1,this was not   
1,this was rubio 
1,"so, he started "
1,"so, what i     "
1,"trump, you     "
1,you have       
1,and then       
1,"trump, i had   "
1,"i said, what   "
1,"he said, i     "
1,i had fifty    
1,i mean people  
1,my hands are   
1,"you know, my   "
1,slightly       
1,"in fact, i buy "
1,"no, but i did  "
1,they are       
1,"so rubio, in a "
1,he wanted to   
1,"obviously, it  "
1,but one of the 
1,you can look   
1,i didn't say   
1,i don't want   
1,i'm telling    
1,i would say    
1,why shouldn't  
1,"and, by the    "
1,nobody         
1,i don't know   
1,"he said,       "
1,' i didn't say 
1,and all i did  
1,and everybody  
1,whether it was 
1,i can just say 
1,"and everybody, "
1,after i said   
1,and then i     
1,"you know, when "
1,"so yeah, i     "
1,oh this is a   
1,thank you very 
1,we will be     
1,have a good    
1,have a good    
1,you know we    
1,of course if   
1,and soon the   
1,so i want to   
1,they've been   
1,"these people,  "
1,we're not      
1,and we've had  
1,we love        
1,we're going to 
1,we're beating  
1,it's always    
1,and            
1,it's going to  
1,we might not   
1,so tonight we  
1,so if they     
1,you know they  
1,so i want to   
1,he's getting   
1,and don went   
1,he loves the   
1,this is        
1,this is        
1,we love the    
1,nobody loves   
1,and corey and  
1,i want to just 
1,"phil ruffin,   "
1,"phil said,     "
1,"i said, phil i "
1,i don't want   
1,i'm self       
1,every time i   
1,it's hard for  
1,i grab and     
1,you know i get 
1,"i want money,  "
1,i'll tell you  
1,"we get greedy, "
1,now we're      
1,we're going to 
1,we're going to 
1,we're going to 
1,and another    
1,"stand up,      "
1,two great      
1,steve is       
1,he's always    
1,donald i think 
1,his advice i   
1,so phil and    
1,you've been    
1,"thank you,     "
1,so this was    
1,but i'll tell  
1,i love         
1,he has been    
1,and as you     
1,jerry falwell  
1,", an           "
1,it's been      
1,so we won the  
1,we won with    
1,we won with    
1,we won with    
1,we won with    
1,i love the     
1,we're the      
1,because i've   
1,46% were the   
1,1 one with     
1,i'm really     
1,so i'm very    
1,i love the     
1,we're going in 
1,we're going to 
1,we're going to 
1,we're going to 
1,we're going to 
1,we're going to 
1,and i have a   
1,but let me     
1,it's going to  
1,it's going to  
1,we have a      
1,we have a      
1,they'll pay    
1,they'll be     
1,i'll talk to   
1,they're going  
1,they're going  
1,we're going to 
1,we're not      
1,we're going to 
1,you're going   
1,so tonight     
1,i love this    
1,i love this    
1,i love las     
1,i have spent   
1,trump          
1,he's fighting  
1,but i just     
1,and i was so   
1,"you know, i    "
1,i was all over 
1,the people are 
1,the            
1,the people of  
1,i love you     
1,make america   
1,we're going to 
1,thank you very 
1,that is some   
1,"so nice, thank "
1,that's really  
1,it's great to  
1,it's great to  
1,and it's an    
1,this is beyond 
1,there's been   
1,"and, i can     "
1,they didn't    
1,they sweated   
1,they didn't    
1,how are they   
1,i don't think  
1,our country is 
1,we don't have  
1,we used to     
1,when was the   
1,i beat china   
1,when did we    
1,they send      
1,when was the   
1,it doesn't     
1,they beat us   
1,when do we     
1,they're        
1,and now they   
1,they are not   
1,but they're    
1,has become a   
1,"it's true, and "
1,when mexico    
1,they're not    
1,they're not    
1,they're        
1,they're        
1,they're        
1,they're        
1,"and some, i    "
1,oh and it only 
1,it only makes  
1,they're        
1,it's coming    
1,it's coming    
1,but we don't   
1,because we     
1,and it's got   
1,islamic        
1,they've become 
1,i'm in         
1,they just      
1,can you        
1,they built a   
1,when i have to 
1,they don't     
1,so now isis    
1,and in 19  and 
1,"but i said,    "
1,iran is going  
1,iran is taking 
1,we spent $2    
1,we lost        
1,we have        
1,and we have    
1,we can't even  
1,we have        
1,and every time 
1,"last week, i   "
1,you would say  
1,"2,300          "
1,"last quarter,  "
1,it was below   
1,whoever heard  
1,it's never     
1,our labor      
1,but think of   
1,and our real   
1,don't believe  
1,don't believe  
1,a lot of       
1,they can't get 
1,they all have  
1,but the real   
1,our enemies    
1,even our       
1,it came out    
1,they don't     
1,and i thought  
1,they don't     
1,they don't     
1,we have a      
1,"yesterday, it  "
1,you have to be 
1,it's virtually 
1,it is a        
1,and remember   
1,$5 billion we  
1,a $5 billion   
1,if and when    
1,isis would     
1,the mexican    
1,the pope only  
1,he doesn't see 
1,for a          
1,i am proud to  
1,"no leader,     "
1,they are using 
1,i have so many 
1,"i hire people, "
1,$5 billion web 
1,"well, you need "
1,nothing's      
1,they will not  
1,"as an example, "
1,and they're    
1,they all want  
1,they don't     
1,they come up   
1,i'm meeting    
1,and they don't 
1,are you not    
1,could we have  
1,how do we do   
1,and i hear     
1,and they don't 
1,when was the   
1,they're        
1,it makes it    
1,they're        
1,but you don't  
1,you don't hear 
1,and i watch    
1,i watch the    
1,and people are 
1,i just want a  
1,just get me a  
1,i don't need   
1,and that's     
1,and it's going 
1,obama is going 
1,he might be on 
1,i would invite 
1,i have the     
1,if he'd like   
1,"in fact, i'd   "
1,but obamacare  
1,really big     
1,it is going to 
1,doctors are    
1,i have a       
1,i have more    
1,it's a         
1,my patients    
1,they had a     
1,they have no   
1,we have to     
1,let it be for  
1,but much       
1,and we can do  
1,so i've        
1,i've dealt     
1,if you can't   
1,you're         
1,and that's     
1,they will      
1,they don't     
1,they're        
1,"yes, they      "
1,"hey, i have    "
1,i have to tell 
1,i have         
1,but you know   
1,it won't       
1,it won't       
1,because we     
1,we have to     
1,we need a      
1,our vets have  
1,and we also    
1,"you know, when "
1,i think he'll  
1,i think he'd   
1,i really       
1,he's not a     
1,you're right   
1,but he wasn't  
1,he's actually  
1,he's been a    
1,he wasn't a    
1,he was the     
1,we need        
1,it's not great 
1,we need  we    
1,"and, i will    "
1,i have a       
1,they're        
1,"you know, all  "
1,just can't     
1,and yet that's 
1,so ladies and  
1,i am           
1,for president  
1,our country    
1,we have        
1,we have people 
1,we have people 
1,but they're    
1,and they'll be 
1,i will be the  
1,i tell you     
1,i'll bring     
1,i'll bring     
1,"right now,     "
1,we owe china   
1,we owe japan   
1,so they come   
1,how stupid are 
1,how stupid are 
1,how stupid are 
1,i'm going to   
1,i'm going to   
1,"number one,    "
1,our president  
1,he's a bad     
1,he's the one   
1,we get         
1,we get         
1,we get a       
1,we get a       
1,that's the     
1,take a look at 
1,he makes that  
1,it's a         
1,so we need     
1,but the        
1,if you don't   
1,free trade can 
1,we have people 
1,and we have    
1,and it's just  
1,"so, here's a   "
1,a friend of    
1,"and, you know, "
1,"i buy it,      "
1,but with all   
1,and it's       
1,so i want to   
1,a friend of    
1,he's very      
1,"i said, what's "
1,"he said, you   "
1,"and i said, i  "
1,i know that    
1,"he said, i     "
1,they won't     
1,i sent a boat  
1,they talked    
1,"i said, oh,    "
1,does anyone    
1,"he said, yeah, "
1,"i said, they   "
1,so i finally   
1,they're not    
1,"now, they do   "
1,they wanted    
1,they wanted    
1,"hey, i'm not   "
1,i sell         
1,am i supposed  
1,i own a big    
1,the biggest    
1,you know where 
1,in this        
1,"people say,    "
1,"no, i love     "
1,but their      
1,there's too    
1,that's the     
1,they are       
1,we are         
1,we're          
1,"china, you go  "
1,they have      
1,and they're    
1,we have all    
1,we don't even  
1,we could turn  
1,now they're    
1,they're        
1,a military     
1,"now, our       "
1,they built it  
1,they're        
1,you have a     
1,you have a     
1,"and, in my     "
1,so this man    
1,"i say, that's  "
1,i hate to hear 
1,but i have     
1,so mexico      
1,everybody      
1,reported it in 
1,everybody      
1,it's going in  
1,"great state,   "
1,all of a       
1,they're gonna  
1,"now, ford      "
1,5 billion car  
1,"5 billion,     "
1,so i announced 
1,one of the     
1,i know the     
1,i know the bad 
1,i know the     
1,you get a lot  
1,they're not    
1,they think     
1,they get good  
1,but they're    
1,but i know the 
1,"believe me,    "
1,we will do     
1,but i wouldn't 
1,i would call   
1,if i was       
1,i understand   
1,5 billion car  
1,and you say to 
1,how does that  
1,where is that  
1,so i would     
1,that's the     
1,let me give    
1,every car and  
1,"now, here's    "
1,if it's not me 
1,and here's     
1,they're not so 
1,they know it's 
1,but then       
1,they're going  
1,they're going  
1,it's very bad  
1,so under       
1,the head of    
1,but it could   
1,"you know, they "
1,"and he'll say, "
1,he'll beg for  
1,then he'll     
1,"no interest,   "
1,i don't need   
1,i'm using my   
1,i'm not using  
1,i'm not using  
1,i'm really     
1,and by the     
1,so  because we 
1,it sounds      
1,"somebody said, "
1,we got $18     
1,we got nothing 
1,we got a       
1,we got nuclear 
1,we've got      
1,we've got      
1,all these      
1,i'm not going  
1,i'm going to   
1,but here's     
1,after i'm      
1,please         
1,"president,     "
1,they have no   
1,they have no   
1,there are      
1,i'll give you  
1,"saudi arabia,  "
1,$1 billion a   
1,i love the     
1,many are in    
1,they make a    
1,whenever they  
1,we say we're   
1,what are we    
1,they've got    
1,if the right   
1,they wouldn't  
1,and believe    
1,you remember   
1,two weeks      
1,everybody got  
1,they always    
1,we ought to    
1,they always    
1,we ought to    
1,we're always   
1,but look at    
1,do you really  
1,saudi arabia   
1,and i'm the    
1,"you know, all  "
1,but all of     
1,"i mean, you    "
1,he couldn't    
1,"i said, is he  "
1,then i looked  
1,he was unable  
1,he couldn't    
1,how are these  
1,how are we     
1,they don't     
1,they can't     
1,they can't     
1,it was         
1,but saudi      
1,"now, thanks to "
1,and i used to  
1,they were      
1,there is so    
1,because we     
1,we have to do  
1,and we need    
1,so ford will   
1,they'll all    
1,and i will say 
1,so the         
1,"trump, you're  "
1,how can you    
1,"i said, i      "
1,"i said, i      "
1,i give a lot   
1,i think i'm    
1,"but, i said,   "
1,and they're    
1,and they're    
1,and some of    
1,but we're      
1,so one of the  
1,because a lot  
1,"number one, he "
1,they're right  
1,"number two,    "
1,and the one    
1,"so i said,     "
1,i'm proud of   
1,i've done an   
1,i started off  
1,i learned so   
1,he was a great 
1,i learned so   
1,but i learned  
1,but he used to 
1,that's the big 
1,we don't know  
1,"i said, i      "
1,i gotta build  
1,"i gotta do it, "
1,i've gotta do  
1,and after four 
1,i was          
1,i did a lot of 
1,and now i'm    
1,but they all   
1,so i said to   
1,i've employed  
1,that means     
1,that means     
1,that means     
1,so a large     
1,but everything 
1,we'll be       
1,we don't need  
1,and it was     
1,so i said      
1,that's the     
1,so they put    
1,and before i   
1,i made it the  
1,it's real      
1,"you know, it's "
1,"it's labor,    "
1,and i have     
1,and i have     
1,that's         
1,"in fact, one   "
1,could we loan  
1,"i said, i      "
1,i don't want   
1,and i've been  
1,i don't want   
1,but in two     
1,so i have a    
1,"but here, a    "
1,so the total   
1,now i'm not    
1,i'm not doing  
1,i don't have   
1,i don't have   
1,i'm doing that 
1,we need that   
1,we have the    
1,we have people 
1,we have people 
1,we have people 
1,so i put       
1,we're soon     
1,according to   
1,we will be     
1,that's when we 
1,that's when we 
1,and we're      
1,we're gonna be 
1,i will         
1,fully support  
1,"now, it's very "
1,today i heard  
1,through        
1,and a woman    
1,"trump, and she "
1,"trump, i       "
1,i didn't want  
1,and now since  
1,we now have a  
1,we're ready to 
1,"i said, very   "
1,so protect the 
1,end  end       
1,common core    
1,bush is        
1,i don't see    
1,he's weak on   
1,he's in favor  
1,how the hell   
1,you just can't 
1,we have to end 
1,rebuild the    
1,nobody can do  
1,it will be     
1,i look at the  
1,what they do   
1,"you know,      "
1,it's gonna be  
1,we got it from 
1,the obama      
1,it was the     
1,people were    
1,"well, i got it "
1,"number one,    "
1,"number two, we "
1,and i'll add   
1,because the    
1,and they       
1,so we have to  
1,you come into  
1,you look at    
1,they throw     
1,you look at    
1,and i come in  
1,you come to    
1,you have all   
1,we have to     
1,"save medicare, "
1,get rid of the 
1,get rid of the 
1,people have    
1,and now many   
1,you save it by 
1,renegotiate    
1,reduce our $18 
1,we have        
1,we have a      
1,we have a      
1,be careful of  
1,"so be very,    "
1,and strengthen 
1,"so, so         "
1,"chris, thank   "
1,i appreciate   
1,this has been  
1,"already, we've "
1,it's really    
1,i want to      
1,he worked hard 
1,that was an    
1,we're going to 
1,we're going to 
1,"and, you know, "
1,"i mean, if she "
1,it's just      
1,she wants to   
1,make america   
1,so i just want 
1,it's so great  
1,it's so great  
1,i know it was  
1,he had a tough 
1,he spent a lot 
1,he is a        
1,but you know   
1,we're going to 
1,we've got      
1,i know that a  
1,"and frankly, i "
1,as far as i'm  
1,and if he      
1,but he's not   
1,but we're      
1,the virginia   
1,"remember, we   "
1,and it's been  
1,it's been      
1,"and you know,  "
1,and it's been  
1,recent         
1,"i mean, our    "
1,we're being    
1,china is just  
1,i have nothing 
1,i have great   
1,our leaders    
1,no country can 
1,it won't be    
1,we have the    
1,you look at    
1,they're        
1,companies like 
1,"ford, moving   "
1,"nabisco,       "
1,we have to     
1,i know how to  
1,we're going to 
1,we're going to 
1,we're going to 
1,i have a plan  
1,we're going to 
1,the middle     
1,it really      
1,so we're going 
1,we're lowering 
1,you look at    
1,when you see   
1,they used to   
1,but now        
1,but chris      
1,now they're    
1,we can't let   
1,we've lost our 
1,we've lost our 
1,millions and   
1,"i mean, we are "
1,we can't let   
1,i tell the     
1,"and recently,  "
1,they've        
1,and i don't    
1,that's not     
1,they shouldn't 
1,we have        
1,"we have great, "
1,the problem is 
1,so we're going 
1,i'm so honored 
1,if you         
1,you have a lot 
1,"it looked,     "
1,i never saw so 
1,and it takes   
1,i'll tell you  
1,i've never     
1,i've been a    
1,i've done a    
1,when you look  
1,when you look  
1,we're going to 
1,so it's just   
1,and if you     
1,"well, they can "
1,but let me     
1,if you've seen 
1,"i mean, right  "
1,"it's georgia,  "
1,"and you know,  "
1,"in fact, we're "
1,but i will say 
1,"look, we have  "
1,when you look  
1,they came from 
1,and they were  
1,and we've      
1,look at the    
1,four years     
1,we were almost 
1,whereas the    
1,there's much   
1,"so i  look,    "
1,i know people  
1,once we get    
1,i don't know   
1,and i think    
1,you see the    
1,i beat hillary 
1,i know one     
1,i don't think  
1,i don't think  
1,but ted at     
1,so i just tell 
1,we are going   
1,and we are     
1,we're going to 
1,our party is   
1,and all you    
1,that hasn't    
1,so i think     
1,i think we're  
1,i'm just doing 
1,"look, planned  "
1,and i'll say   
1,but millions   
1,but we're not  
1,but  and we'll 
1,but planned    
1,and this       
1,this was       
1,i'm going to   
1,i'm going to   
1,it's very      
1,and maybe      
1,i'm more       
1,"so sarah, i    "
1,"yeah, go       "
1,i feel awfully 
1,"i mean, i'm    "
1,i'm becoming   
1,and they are   
1,"i mean, you    "
1,"and they are,  "
1,he didn't win  
1,he hasn't won  
1,and by the     
1,i've never     
1,he hasn't won  
1,but i do       
1,now i also did 
1,i came in      
1,and one of the 
1,so it wasn't   
1,the worst i    
1,"so i'm very,   "
1,"oh, they're    "
1,"look, i        "
1,i disavowed    
1,"he said,       "
1,we spoke today 
1,you've never   
1,that had to be 
1,and every      
1,"we had 35,000  "
1,and when chris 
1,this is        
1,and in all     
1,they've never  
1,they've never  
1,and i'm just   
1,"now, when      "
1,i said i       
1,"now, right     "
1,i do have to   
1,"i mean, they   "
1,but right      
1,now everybody  
1,it was right   
1,and i          
1,i disavowed    
1,"i mean, how    "
1,but i disavow  
1,but if you     
1,"no, it's not,  "
1,it's going to  
1,"so you know,   "
1,it's almost    
1,does he ever   
1,does he ever   
1,does he ever   
1,"you know, a    "
1,corporate      
1,"carl icahn,    "
1,and we're      
1,we're losing   
1,we have the    
1,and very       
1,the democrats  
1,the            
1,everybody      
1,i could sit in 
1,here's         
1,these          
1,the president  
1,the reason is  
1,so when you    
1,and what it    
1,"well, look,    "
1,i can tell you 
1,i watched the  
1,and i get      
1,you saw in     
1,i have         
1,i've had       
1,these are      
1,the mexican    
1,"vincente fox,  "
1,nobody even    
1,but he was     
1,mexico is      
1,we have a      
1,the wall is    
1,i've had these 
1,one  as sure   
1,and the reason 
1,i know how to  
1,politicians    
1,it's not going 
1,it's not       
1,it's not going 
1,so when you    
1,"well, it's     "
1,the great wall 
1,i buy a lot of 
1,i love john    
1,but they       
1,they didn't    
1,they didn't    
1,the wall is    
1,"we need 1,000  "
1,we can do that 
1,and this is    
1,this is going  
1,this is going  
1,we're going to 
1,"you know, when "
1,and when you   
1,you look at    
1,"and yet, you   "
1,the heroine is 
1,and i told     
1,i'm going to   
1,we're going to 
1,and by the     
1,i've got to    
1,we've got a    
1,"we have a big, "
1,i'll tell it   
1,"we have a big, "
1,we've got to   
1,we're going to 
1,radical        
1,you take a     
1,you look at    
1,and we're not  
1,you look at    
1,"they're young, "
1,and you say    
1,"now, with all  "
1,we're going to 
1,it's going to  
1,and i'm going  
1,we're going to 
1,we're going to 
1,we're going to 
1,"oh, we're      "
1,we're going to 
1,"look, i'm      "
1,"first of all,  "
1,and one of the 
1,and the reason 
1,i'm going to   
1,the reason is  
1,i'm going to   
1,how does it    
1,"well, look, i  "
1,he decided to  
1,but don        
1,"honestly, i    "
1,the only way   
1,"in fact, one   "
1,it's really    
1,"but look, i'm  "
1,i'm not going  
1,you have to    
1,he had a bad   
1,i watched      
1,they say the   
1,he didn't win  
1,"i mean, at     "
1,you've got to  
1,"you know,      "
1,you've got to  
1,he hasn't won  
1,and he         
1,so we'll see   
1,i'm going to   
1,our            
1,i go           
1,"i mean, you go "
1,you go to      
1,you look at    
1,you look at    
1,we're like a   
1,so i am going  
1,i'm going to   
1,you're going   
1,even you will  
1,but we have to 
1,our country is 
1,and hillary    
1,she can't do   
1,she's talking  
1,and in her     
1,"well, she's    "
1,why hasn't she 
1,practically    
1,the difference 
1,why haven't    
1,then you look  
1,you look at    
1,you look at    
1,it's a         
1,so we're going 
